question,option1,option2,option3,option4
Donkey : Brays : monkey : ?,Chatters,Trumpets,Bellows,Grunts
ABDE : FGIJ :: IJLM : ?,NOQR,NOPQ,NMOP,NPQR
1 : 8 :: ? : 64,25,36,30,27
In the following questio. Select the old word from the given alternative.,Russian,Hindi,Punjabi,Economics
Identify the diagram that best represents the relationship among the given classses.,Trouser,Shirt,Garment,?
Raju remembers his birthday is before 18th january . His wife remembers his birthday is affter 16th january . On which date of january is his birthday ?,17,16,18,16 or 17
A is mother of B. B is son of C. C is brother of D. D is niece of E. How is C related to E?,Nephew,Father,Husband,Brother-in-law
D 3 A 11 B 12 C 132=?,14,17,23,35
A.B and C undertook a work for Rs 80000. together A and B complete 3/4th part of the work what is the share[in Rs.] of C?,20000,25000,30000,22000
The angles of a triangle are in the ratio of 1 : 2 : 3 : What is the measure of the smallest angle [in degrees]?,60,30,90,45
Trickle down theory ignores the impact of economic growth on ?,Investment,Savings,Income distribution,Consumption
In which year did the kakori conspiracy case take palce?,1925,1924,1926,1927
The Taj mahal is called 'a dream in marble : which monument is called as 'a dream in stone?,The Rang mahal,The Panch mahal,The Red fort,The Bahai temple
sex-ratio in India is measured as?,Number of males per thousand females,Number of  females per thousand males,Number of males per hunderd females,Number of females per thousand males
companion cells are unique to ?,Bryophytes,Pteridohytes,Angiosperms,Gymnosperms
Which one of the following is an insulator?,Copper,Wood ,Mercury,Aluminium
A is mother of B. B is son of C. C is brother of D. D is niece of E. How is C related to E?,Nephew,Father,Husband,Brother-in-law
Bubbles of air rise up through liquids due to:,Surface tension and adherence,viscosity and buoyancy,air current over the liquid and buoyancy,Up thrust and surface tension.
Zeolite is ?,hydrated ferric oxide,hydrated sodium aluminium silicateed ,sodium hexameta phosphate,sodium tetra borate
The most important function of an interest group os to ?,form the government,alter government policies to its liking,build up public opinion,Contest elections
Which among the following is not correctly paired?,Shivaji-Afzal khan,Nurjahan-Mahabat khan ,Akber-Rana pratap,Babar-Bairam khan
Who was the first lady governor of an Indian State?,Mrs. Sucheta Kripalani,Miss Padmaja Naidu,Mrs Tarkeswari sinha,Mrs. Sarojini Naidu
"Who wrote the famous line: A thing of beauty is a joy forever                                 ""A thing of beauty is a joy forever""",john keats ,V.S. Naipaul,Sir Richard Burton,Larry Collins
Which of the following is an application protocol?,HTTP,TCP,IP,UDP
A home theatre set is Rs. 4950. If two successive discount of 20% and 15% are given . Then its selling price is?,3366,6633,3636,6363
If 15%of x is three times of 10% of y. then x:y =,01:02,02:01,03:02,02:03
A gun is fired at a distance of 6.64 km away from Ram. He hears the sound 20 seconds later. Then the speed of sound is ?,664 m/s,664 km/s,332 m/s,332 km/s
O is the circumcentre of AABC. If AO = 8 cm. then the length of BO is ?,12 cm,3 cm,6 cm,8 cm
If a > b > 0. AB = a - b cm. BC = 2/ab cm. then <ABC is ?,45c,60c,90c,120c
"If any person offers to give bribe to a public servant in conneciton with official duties under the Prevention of Corruptin Act, he shall be punished with :",Minimum imprisonment of 6 months which may extend to three years and with fine,Minimum imprisonment of 6 months which may  to five years and with fine,Minimum imprisonment of 12 months which may extend to five years and with fine,Minimum imprisonment of three years which may extend to five years and with fine
"For the prevention and disposal of offenses under the Scheduled Castes and Scheduled Tribes Act, power has been given to ",Section-8,Section-9,Section-10,Section-11
To whom will the National Human Rights Commission submit its annual report and special report?,Central Government,State Government,Both (1) and (2),Supreme Court
Which of the following is an incomplete offence ?,Public nuisance,Criminal attempt,Unlawful assembly,Revolt
In which of the following provisions of personal defence extends to any other than death of the Indian Penal code ?,Section-99,Section-100,Section-103,Section-101
It is a statement that 'justice should not only be done but must also appear to be clear':,Samand,Kelsen,Dayasi,Lad1Hewtel
Who can apply for registration if there is a joint owner of a motor vehicle ?,Joint owner,Senior among joint owners,Subordinate among joint owners,Any one of the joint owners
The term of a nominated member holds office in the National Tiger Conservation Authority:,A period not exceeding two years,A period not exceeding three years,A period not exceeding five years,lifetime
"Under the Environnent (Protection) Act, 1986, 'environmental pollutant' has been defined as :",Section-2(b),Section-2(d),Section-2(f),Section-2€
"If any person demands any dowry from the mother-father or other relative or guardian of the bride or the groom directly or indirectly, as the case may be punished with :","Imprisonment for a term which shall not be less than six months but which may extend to two years and with fine which may extend to Rs. 10,000/-",Imprisonment for a term which shall not be less than one year but which may extend to three years and with fine.,With imprisonment of either description of a term which may extend to two years and fine.,With imprisonment of either description for a term which may extend to seven years and fine
Which of the following is defined in section 2 (h) of the Code of Criminal Procedure ?,Investigation,Guilty,Inquiry,None of these
Which section of the code of Criminal Procedure provides for prosecution for offences against marriage?,Section 196,Section 197,Section 198,None of these
"In which section of the code of Criminal Procedure it has been provided that if any statement made during the investigation from a police officer, then it will not be signed by the person making the statement?",Section 161,Seciton 162,Section 163,Section 164
Select the true statement from the following :,A cognizable offense means an offense in which a police officer may make an arrest without warrant.,"High Court means in relation to a State, the High Court of that State",Both of the above,Only (1)
In which section of the Indian Penal Code riot (Affray) is defined ?,Seciton 159,Section 160,Section 161,Section 148
"Whether the offence committed by the offender is cognizable or non-cognizable, bailable or non-bailable, it is determined by which provision mentioned in the following ?",Indian Penal Code,Evidence Act,Police Regulation,Code of Criminal Procedure
Which one of the following sections of the Indian Penal code has been declared  unconstitutional under sections 14 and 21 of the Constitution of India ?,Seciton 301,Section 303,Section 306,Section 314
Which Section of the Indian Penal Code (IPC) deals with the punishment of cheating ?,Section 415,Section 417,Section 416,None of these
"When a person's fundamental rights are violated, whom can he approach ?",President of India,Prime Minister of India,Supreme Court,Any of the above
What does this traffic sign mean ?,Chance of falling stones,Scissor mode is on the right ,Road in front is zigzag,For pedestrians only
"These soils develop in areas with high temperature and high rainfall. These are the result of intense leaching due to tropical rains. Humus content of the soil is removed fast by bacteria that thrives well in high temperature. These soils are poor in organic matter, nitrogen, phosphate and calcium, while iron oxide and potash are in excess. Hence, these are not suitable for cultivation. Which type of soil is this ?",Red and yellow,Black,Laterite,Alluvial
Which of the following nutrients keep our skin and eyes healthy ?,Proteins,Fats,Vitamins A,Carbohydrates
Which of the following is an example oa a green algage ?,Laminaria,Sargassum,Chlamydomonas,Fucus
This disease is caused by a pathogenic bacterium and affects the intestines. It can be confirmed by Widal Test. Identify the disease.,Pneuomonia,Malaria,Typhoid,Cholera
In which year did India get its Central Bank ?,1937,1935,1933,1931
Which of the following cities is not a capital of India's neighbouring countries ?,Naypyitaw,Kathmandu,Thimpu,Lahore
"A monument was built by the British at the Apollo Bunder in Mumbai and was designed by the British architect, George Wittet. To commemorate whose visit was this monument built?",King Edward III,King George V,Prince Edward of Wales,Prince Phillip I
"Who is the author of these books - ""Why I am a Hindu"" and ""An Era of Darkness""?",Ahashi Tharoor,Khushwant Singh,Rajdeep Sardesai,Arvind Adiga
Which chronicles and documents from the Mughal court is the major source for the agrarian history of the sixteenth and early seventeenth century?,Ain-I-Akbari,Kitab-ul-Hind,Babur Nama,Humayunama
Which of the following was a work not done by the jotedars during the eighteenth century British administration?,exercised direct control over a considerable section of poor villagers,distributing the revenue demand (jama) over villages,revolted against the zamindars many times,controlled local trade as well as moneylending to ryots
Which of the following comes under Right to Freedom?,Prohbition of employment of children in hazardous jobs,Protection of Right to form associations / unions,"Protection of language, culture of minorities",Right to move the courts to issue directions / orders / writs for enforcement of rights
"""We must make our political democracy a social democracy as well."" Who had said this line ?",Maulana Abul Kalam Azad,Pandit Jawaharlal Nehru,B.R. Ambedkar,Dr. Rajendra Prasad
Which of the following movements and their respective years are not correctly matched ?,Rowlatt Satyagraha-1919,Kheda Satyagraha-1920,Champaran Satyagraha: 1916-17,Ahmedabad Mill Strike Satyagraha-1918
"Which Constitutional Amendment fixed the norm that the total number of Ministers including the Prime Minister, in the Council of Ministers shall not exceed fifteen percent of the total number of members of the House of the People ?",85th Amendment Act,91st Amendment Act,96th Amendment Act,89th Amendment Act
Choose the incorrect statement with regards to the Indus Valley Civilization :,The Indus Valley seals conveyed the identity of the sender and also if the bag with the sealing was intact,Beads were made of carnelian which were pink coloured stones obtained by firing the yellowish raw material,The longest inscription in the Indus Valley era has about 26 symbol,The Indus Valley people weights both in binary and decimal systems
Near which European capital would you find the Palace of Versailles ?,London,Paris,Rome,Brussels
How many total biosphere reserves are ther in India ?,10,12,18,25
"A famous college building has five floors and they are running a hostel on the third, fourth and fifth floors. The rooms are numbered from 3001 to 3030 on the third floor, 4001 to 4200 on the fourth floor and 5001 to 5330 on the fifth floor. In the month of June, the room occupancy was 40% on the third floor, 75% on the fourth floor and 30% on the fifth floor. If it is also known that the room charges are Rs. 100, Rs. 150 and Rs. 200 on each of the floors respectively, then find the average income per each occupied room in the hostel for the month of June ?",Rs. 167.25,Rs. 166.92,Rs. 165.65,Rs. 166.67
"The price of Share A increases by 60 paise every year, while the price of share B increases by 33 paise every year. If in 1991, the price of share A was Rs. 6.20 and that of share B was Rs. 8.30. In which year will share A cost 60 paise more than share B?",2003,2005,2001,2007
"the price of sugar is increased by 25%. If a family wants to keep its expenses on sugar unaltered, then the family will have to reduce the consumption of sugar by :",20%,21%,22%,25%
A sum of money amounts to Rs. 850 in 3 years and to Rs. 925 in 4 years at some rate of simple interest. The sum is :,550,600,625,700
"Pipe A can fill a cistern in 6 hours and pipe B can fill it in 8 hours. Both the pipes are opened simultaneously, but after two hours, pipe A is closed. How many hours will B take to fill the remaining part of the cistern?",2,2(1/3),2(2/3),3(1/3)
The sides of a triangle are in the ratio 1/3:1/4:1/5 and its perimeter is 94 cm. The length of the smalles side of the triangle is :,18 cm,22.5 cm,24 cm,27 cm
The average of seven consecutive positive integers is 26. The smallest of these integers is :,21,23,25,26
